device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,price_drop_percent
Others,Android,12.7,yes,no,2.0,5.0,32.0,4,4000,234,2020,220,3.974809994,4.699388861,15.418576509240273
Others,Android,12.7,yes,no,13.0,5.0,16.0,2,4000,234,2020,173,4.29374172,4.382276603,2.0202942675820945
Others,Android,15.42,yes,no,12.0,16.0,128.0,8,5000,159,2018,413,5.175471537,5.700042155,9.202925236962573
Vivo,Android,16.36,yes,no,,32.0,128.0,8,4500,176,2020,343,5.052864298,5.766694674,12.37850131407876
Vivo,Android,16.59,yes,no,,16.0,64.0,4,5000,204,2020,246,4.801065863,5.068904202,5.283949515051417
Vivo,Android,16.66,yes,yes,,32.0,128.0,8,4315,181,2020,145,5.560335417,6.446116566,13.74131447873665
Vivo,Android,16.21,yes,no,,16.0,128.0,8,4500,190,2020,300,4.847331743,5.702781974,15.000577523393845
Vivo,Android,16.43,yes,no,,8.0,128.0,4,5000,197,2020,118,4.823260994,5.249652195,8.1222752510369
Vivo,Android,16.69,yes,yes,,16.0,128.0,6,4500,198,2020,312,4.95434709,5.857447322,15.41798299419687
Vivo,Android,17.5,yes,yes,,16.0,256.0,8,4500,219,2020,226,5.466878008,6.447290015,15.206575238883527
Vivo,Android,16.36,yes,no,,32.0,128.0,8,4500,176,2020,199,5.192623462,5.599199434,7.2613232800951835
Vivo,Android,16.36,yes,yes,13.0,32.0,128.0,8,4350,196,2019,279,5.288014474,6.04545545,12.529096976473472
Vivo,Android,16.21,yes,no,13.0,16.0,128.0,8,4500,198,2019,212,4.770599875,5.79331844,17.65341531959703
Vivo,Android,16.59,yes,no,13.0,16.0,128.0,8,5000,193,2019,188,5.064302435,5.435249221,6.824834904842722
Vivo,Android,16.21,yes,no,13.0,32.0,128.0,8,4500,186,2019,264,5.104732617,5.801816215,12.014920365759982
Vivo,Android,16.13,yes,no,13.0,8.0,64.0,3,5000,191,2019,230,4.417755682,4.886809035,9.59835650709031
Vivo,Android,16.21,yes,no,13.0,16.0,64.0,6,4500,198,2019,259,4.601664047,5.55971963,17.232084471137263
Vivo,Android,16.13,yes,no,13.0,8.0,64.0,4,5000,190,2019,349,4.59360355,4.941928096,7.048353177820088
Vivo,Android,16.13,yes,no,13.0,16.0,128.0,4,5000,190,2019,500,4.907346705,5.245812813,6.452119434403455
Vivo,Android,17.5,yes,yes,13.0,16.0,256.0,8,4500,218,2019,288,4.94071342,6.594864794,25.08241526808776
Vivo,Android,17.5,yes,no,13.0,16.0,128.0,8,4500,217,2019,391,5.278471738,6.461014949,18.302746864608743
Vivo,Android,16.28,yes,yes,13.0,12.0,128.0,8,4500,217,2019,204,4.911109575,6.215967174,20.992028472382017
Vivo,Android,16.28,yes,no,13.0,12.0,128.0,8,4500,215,2019,293,5.144350003,6.015376367,14.479997773346314
Vivo,Android,15.8,yes,no,8.0,5.0,16.0,2,4030,163,2019,456,3.966132331,4.485598051,11.580746069839961
Vivo,Android,16.21,yes,no,13.0,32.0,128.0,6,4500,179,2019,224,5.206859756,5.635896134,7.612567155234237
Vivo,Android,16.21,yes,no,13.0,12.0,64.0,6,4500,198,2019,451,4.735671994,5.523458921,14.262565147445224
Vivo,Android,16.59,yes,no,13.0,16.0,64.0,4,5000,204,2019,338,4.956108708,5.304746654,6.572188433110407
Vivo,Android,16.23,yes,no,13.0,16.0,128.0,6,3700,185,2019,455,4.755829062,5.736217396,17.091199065845164
Vivo,Android,15.9,yes,no,13.0,16.0,64.0,4,3260,150,2019,431,4.614625345,5.071291288,9.004924329245116
Vivo,Android,16.13,yes,no,13.0,20.0,128.0,4,5000,190,2019,334,4.761831996,5.440511132,12.474547327146254
Vivo,Android,16.59,yes,no,13.0,16.0,128.0,6,3940,189,2019,415,5.116315759,5.561604282,8.006476196826265
Vivo,Android,15.8,yes,no,13.0,5.0,16.0,2,4030,163,2019,266,4.382151627,4.607966273,4.900527317726744
Vivo,Android,10.29,no,no,5.0,2.0,4.0,0,1900,130,2013,931,3.379292546,4.6998438,28.09776899393976
Others,Android,12.93,yes,no,8.0,8.0,32.0,3,3400,145,2019,407,4.421487704,5.199380619,14.961261196330982
Others,Android,14.4,yes,no,13.0,8.0,16.0,2,2920,160,2019,233,4.523526197,5.013098924,9.76587006205267
Others,Android,15.21,yes,no,8.0,5.0,16.0,2,4000,185,2019,423,4.131800899,4.405498991,6.21264679799356
Others,Android,15.32,yes,no,8.0,16.0,128.0,6,4000,184,2019,470,4.857950206,5.52589109,12.087478256832602
Others,Android,15.9,yes,no,8.0,8.0,64.0,3,4000,178,2019,280,4.33781348,5.196616812,16.526200854695613
Xiaomi,Android,16.69,yes,yes,,20.0,128.0,8,4520,208,2020,318,4.852498904,5.664244378,14.331046117163137
Xiaomi,Android,16.69,yes,yes,,16.0,64.0,6,4520,205,2020,301,4.977492076,5.301312876,6.1083133098217095
Xiaomi,Android,16.94,yes,yes,,16.0,128.0,6,4800,208,2020,319,5.120923648,5.523139508,7.2823773402321255
Xiaomi,Android,16.94,yes,yes,,16.0,128.0,6,4500,208,2020,184,5.026246142,5.563792173,9.66150449703364
Xiaomi,Android,16.94,yes,no,,32.0,64.0,6,5020,209,2020,256,4.966753066,5.198718001,4.461964179541574
Xiaomi,Android,15.8,yes,no,,8.0,32.0,2,5000,188,2020,265,4.344065128,4.49535532,3.365477948470587
Xiaomi,Android,15.8,yes,no,,8.0,32.0,2,5000,188,2020,321,3.421000009,4.39222446,22.11235923493765
Xiaomi,Android,16.94,yes,no,,16.0,64.0,6,4500,208,2020,169,4.967310169,5.295513439,6.197761062843741
Xiaomi,Android,20.12,yes,yes,12.0,20.0,512.0,12,4050,241,2019,478,6.619433002,7.823341763,15.388676571613047
Xiaomi,Android,16.23,yes,no,12.0,20.0,128.0,8,4000,196,2019,382,5.360587692,6.211302641,13.696240517802835
Xiaomi,Android,16.23,yes,no,12.0,16.0,128.0,8,4000,191,2019,374,5.192289962,6.107267847,14.981787403502429
Xiaomi,Android,15.27,yes,no,12.0,32.0,64.0,4,4030,173,2019,396,4.792396362,5.129188404,6.566185826540365
Xiaomi,Android,16.23,yes,no,12.0,32.0,64.0,6,4030,179,2019,406,4.886280713,5.56819182,12.246544821798189
Xiaomi,Android,15.32,yes,no,12.0,13.0,32.0,3,4000,186,2019,338,4.687395126,4.939282497,5.099675330434934
ZTE,Android,16.89,yes,yes,,12.0,256.0,8,5100,215,2020,235,5.390850968,6.394693824,15.698059729341004
ZTE,Android,16.89,yes,yes,,12.0,128.0,6,5100,210,2020,278,4.652053772,5.740146547,18.955836163602388
ZTE,Android,15.24,yes,no,14.5,8.0,32.0,3,4000,160,2019,386,4.272211769,4.493232533,4.918970081711538
ZTE,Android,15.47,yes,no,16.0,5.0,32.0,3,3200,165,2019,325,4.408059812,4.485936098,1.7360097045234262
ZTE,Android,15.32,yes,no,14.5,16.0,64.0,3,3200,165,2019,347,4.498697941,5.080658745,11.454435993614453
ZTE,Android,16.48,yes,no,14.5,8.0,128.0,4,5000,190,2019,343,4.57316339,4.872292344,6.139388461949801
ZTE,Android,16.89,yes,no,48.0,16.0,128.0,8,5000,215,2019,336,5.668051665,6.708779812,15.512927479576074
ZTE,Android,16.31,yes,no,14.5,8.0,128.0,6,4000,186,2019,330,5.243913978,6.312478634,16.92781422252335
ZTE,Android,13.84,yes,no,13.0,8.0,16.0,2,2600,157,2019,474,4.297421451,4.383650316,1.9670561925359518
ZTE,Android,12.7,yes,no,8.0,5.0,16.0,1,2000,144,2019,349,3.803992261,4.120986493,7.692192938231024
ZTE,Android,12.7,no,no,8.0,5.0,16.0,1,2000,144,2019,385,3.931433399,4.102643365,4.173162294841578
ZTE,Android,16.89,yes,no,48.0,16.0,64.0,6,5000,215,2019,506,5.263725922,6.217723241,15.343193674322631
ZTE,Android,16.43,yes,no,14.5,20.0,128.0,6,4000,175,2019,333,5.029718709,6.15296671,18.25538888703008
ZTE,Android,13.84,yes,no,13.0,8.0,16.0,2,3200,135,2018,595,4.450152464,5.002468705,11.040873488083115
ZTE,Android,15.27,yes,no,16.0,5.0,32.0,2,3200,146,2019,420,4.339249605,4.412192049,1.6532019275210772
Honor,Android,14.5,yes,no,13.0,5.0,64.0,3,3020,146,2020,138,4.466367783,4.695467824,4.879173909551632
Honor,Android,17.3,yes,yes,13.0,16.0,128.0,8,4300,213,2020,268,5.051905188,5.520660598,8.490929693627944
Honor,Android,16.69,yes,yes,13.0,8.0,128.0,8,4200,213,2020,195,5.018008048,5.884157694,14.720027760017395
Honor,Android,25.5,yes,yes,13.0,8.0,64.0,6,7250,480,2020,272,4.903346996,5.634075062,12.969796425477586
Honor,Android,15.32,yes,no,13.0,8.0,64.0,3,5000,185,2020,346,4.477791257,4.943355241,9.41797547015497
Honor,Android,16.23,yes,no,13.0,8.0,64.0,4,4000,176,2020,362,4.466597536,5.076423035,12.012897561836082
Honor,Android,13.84,yes,no,8.0,5.0,32.0,2,3020,144,2020,355,3.961574784,4.507116246,12.104002475732898
Honor,Android,15.77,yes,no,13.0,8.0,64.0,4,3400,164,2020,202,4.776093698,5.202852175,8.20239481434046
Honor,Android,15.32,yes,no,13.0,16.0,128.0,6,4000,165,2020,310,4.803775113,5.297717186,9.323677645634131
Honor,Android,16.23,yes,no,13.0,8.0,128.0,6,4000,176,2020,141,4.831747834,5.067456614,4.651421767456308
